id_autos,color,number,name,brand,classes_id_classes
100,red,3TQXPI,Chickie,"Geely ",71
101,brown,BFNR5C,Barbi,"Geely ",75
102,metallic,THISPT,Ashlee,Jeep,72
103,red,SV2AX8,Tatiania,"Honda ",70
104,olive,FFXEEG,Christy,"Mazda ",70
105,blue,VMNK C,Emylee,"Chrysler ",73
106,red," FCFX2",Alex,BMW,73
107,blue,3CEHUK,Pamella,"Geely ",75
108,metallic,PMVFLU,Rosabelle,Bentley,74
109,purple,S2A3AK,Kerrin,Opel,72
110,pink,YUUT8U,Adelle,"Daewoo ",75
111,brown,JQB7I3,Aili,Bentley,71
112,khaki,PIEW2A,Marinna,KIA,72
113,black,2ISWXR,Clarice,Suzuki,70
114,blue,U1G7SI,Delilah,"Daewoo ",70
115,grey,NMRF6C,Susan,"Chrysler ",75
116,purple,"J1EO  ",Susan,Opel,75
117,green," 78MM1",Kimberley,"Chrysler ",71
118,white,"  NJ04",Konstance,"DODGE ",71
119,green,DSDML2,Rani,UAZ,75
120,yellow,WWDV10,Regina,UAZ,74
121,metallic,K1UGUZ,Giustina,Renault,74
122,orange,KT4OJR,Carolina,"Chevrolet ",75
123,blue,89IAH9,Genevra,"Honda ",73
124,orange,KLXIRV,Cathyleen,Opel,70
125,metallic,S63PBR,Hyacinthe,"Daewoo ",74
126,grey,1G21 K,Caryl,Gas,71
127,grey,"VD5WX ",Gabriellia,UAZ,75
128,blue,YQ1329,Gaylene,UAZ,74
129,white,YVIIDZ,Marinna,"Chrysler ",72
130,black,TFJYV9,Gertrud,LADA,75
131,green,L1KQ9S,Lolita,Subaru,74
132,purple,3GMV B,Kassey,"Jaguar ",70
133,green,"XKVRE ",Gaylene,"Daewoo ",71
134,brown,RR7CPR,Lanae,"Citroen ",72
135,black,ISRKWB,Tarra,"Honda ",70
136,black,H6KXAU,Rayna,Toyota,71
137,brown,"HDROE ",Elyssa,Datsun,70
138,green,ZMDKAN,Gavrielle,UAZ,72
139,blue,2 SHW6,Tobe,Opel,74
140,yellow,PY FB3,Lauryn,"Aston Martin ",71
141,purple,AD8GRF,Augustine,"FIAT ",71
142,brown,8 E LK,Dale,Subaru,70
143,red,9HWMWU,Gerrie,Opel,71
144,carbon,0CE14U,Lexine,Suzuki,74
145,white,SX8E25,Courtnay,Jeep,72
146,olive,AYOF1F,Lilith,"Mazda ",70
147,brown,JBXAWE,Basia,"Geely ",72
148,olive,2FGE52,Phylis,Ford,72
149,red,1CFASM,Paule,Bentley,75
150,yellow,VTJFHR,Nita,BMW,74
151,yellow,X2IN0L,Dyann,Gas,70
152,khaki,01PIJL,Lesly,KIA,74
153,metallic,KPWPYY,Stephanie,Gas,70
154,brown,JXASK4,Renae,Audi,70
155,red," U3NYB",Frank,"Jaguar ",72
156,khaki,DUVUMZ,Althea,"Chrysler ",74
157,olive,9E0J4T,Beatriz,KIA,72
158,purple,IYNXBR,Collen,Subaru,70
159,metallic,UPAY31,Lilith,Gazel,70
160,green,MUC D5,Lolita,BMW,74
161,metallic,19ZD2O,Georgetta,Opel,73
162,olive,9V 43O,Kore,Suzuki,70
163,pink,BBXWBH,Elsie,"Mazda ",72
164,metallic,7ZAH6I,Clarice,"DODGE ",72
165,orange,X8Y2YM,Elsie,Renault,72
166,olive,0UT2XL,Ardenia,"Honda ",75
167,carbon,HWEL76,Jacenta,Gazel,73
168,purple,6ODGNT,Daphne,"Honda ",71
169,pink,5AB9DI,Pollyanna,Datsun,70
170,pink,GQCTK5,Peri,Opel,74
171,black,HOC5PG,Marika,UAZ,72
172,carbon,DJ5YUB,Dacia,"Citroen ",70
173,white,KLZG8V,Bee,Jeep,70
174,carbon,7YJ KS,Gwyneth,"Mazda ",75
175,brown,2 RRE5,Ada,LADA,73
176,carbon,K RNKR,Veda,"FIAT ",74
177,yellow,QHT AL,Susan,Suzuki,71
178,orange,F1ET7F,Jsandye,Renault,72
179,yellow,HW6Z D,Sharai,"Ferrari ",71
180,green," AYK9E",Beverley,Gas,73
181,blue," S P63",Melanie,"DODGE ",74
182,red,"M VS5 ",Konstance,Gas,70
183,olive,QFUZTC,Marline,"Chrysler ",70
184,brown,6DCARB,Kylynn,Subaru,73
185,brown,U4Y882,Shell,"Jaguar ",75
186,metallic,D3DLES,Riannon,Gazel,70
187,green," KOOSF",Alisha,Subaru,73
188,yellow,"UTE3Y ",Sallie,UAZ,71
189,carbon,EI1DDC,Marjie,Ford,74
190,green,3W1 25,Tersina,Toyota,71
191,metallic,YXAR4P,Selma,Toyota,72
192,khaki,S0TCRM,Collen,"Aston Martin ",75
193,purple,KSY0YD,Micheline,"Chrysler ",71
194,metallic,K7O3NW,Tina,"FIAT ",71
195,blue,8K22N5,Gratia,"Honda ",72
196,purple,RQXBJS,Gwyneth,Gas,72
197,purple," 33CHX",Laurene,"Geely ",74
198,metallic,2F6FZL,Ida,"Geely ",75
199,metallic,TBUXTA,Roberta,Ford,70
200,metallic,ORFQSP,Adore,"Mazda ",74
201,yellow,HU3KYF,Fayre,Renault,74
202,grey,P4KYNV,Fanchon,Gas,75
203,olive,"AHE5T ",Alyda,"Aston Martin ",75
204,pink,2L9NA0,Kimberley,"FIAT ",75
205,blue,1BEF7C,Melisent,Suzuki,75
206,blue,3TLTMQ,Rhoda,Audi,71
207,metallic,6TH 0O,Jennica,Subaru,70
208,orange,4 84D2,Rhea,Ford,75
209,olive,Y 8IQA,Alie,"Jaguar ",70
210,purple,E5PG02,Dode,"Geely ",74
211,carbon,US7R8J,Britni,Datsun,73
212,brown,0CVIZ8,Jolyn,Audi,72
213,purple,UZCTRU,Calla,"FIAT ",74
214,brown," FJWTS",Shirlee,Gas,75
215,white,"16IL2 ",Kittie,"Daewoo ",72
216,khaki,D O WK,Helsa,UAZ,75
217,pink,G79QXE,Andree,Suzuki,74
218,green,V9YQ6M,Carol-Jean,KIA,71
219,red,5CA6W7,Wileen,BMW,75
220,white,2TVI18,Aigneis,Ford,70
221,khaki,LO21EB,Tami,Ford,71
222,pink,HXZGZY,Wynne,"Citroen ",75
223,carbon,AOT2QB,Willetta,Bentley,71
224,yellow,"E3GGW ",Mireielle,Gazel,71
225,blue,VHZQ3E,Sissy,Opel,74
226,pink,BO GCS,Carmencita,Opel,73
227,pink,M NRHS,Madelle,"Daewoo ",74
228,red,5G1EMF,Jacquetta,Subaru,70
229,grey,O 5B1Q,Nyssa,KIA,70
230,white,9XVUFX,Diena,"Chrysler ",74
231,orange,Z1GJ Y,Elyssa,Opel,73
232,yellow,TKPN9X,Lilith,Opel,72
233,brown,KUHO0B,Shannah,Jeep,71
234,white,TR84D6,Etta,"Chevrolet ",75
235,black,"5 SAQ ",Alejandra,"Ferrari ",75
236,orange,"VE PO ",Claresta,Toyota,73
237,purple,OX9E70,Carlie,"Honda ",70
238,metallic,W03XC6,Concettina,Suzuki,75
239,carbon,MVRR2F,Mahalia,Opel,72
240,khaki,30MP E,Catrina,Bentley,74
241,grey,PQSO58,Angela,Gazel,74
242,blue,U SM27,Mahalia,"Daewoo ",72
243,red,JEHFEM,Shandie,"Mazda ",71
244,pink,30ZXUT,Celene,LADA,74
245,olive,YE4OS6,Gisela,"FIAT ",72
246,brown,9I8G8A,Elvira,LADA,72
247,yellow,Y7MMX7,Tami,LADA,70
248,black,FUX7PS,Jasmina,Audi,72
249,white,XMUHJT,Aurore,Audi,71
250,black,D34WRJ,Romona,"DODGE ",71
251,brown,BZVHYI,Georgetta,"Chrysler ",73
252,green,EHX1XE,Binny,"Jaguar ",72
253,orange,BCODWE,Calla,BMW,71
254,metallic,VSYVXT,Ernesta,Audi,72
255,white,A9F4VO,Nariko,Datsun,74
256,yellow,"9U9TT ",Robbi,Gas,70
257,orange,OX L6A,Wanda,BMW,74
258,black,NVXUAR,Pierette,"Mazda ",75
259,white,20F8JN,Gavrielle,Renault,74
260,orange,CS6JZR,Tersina,Audi,75
261,pink,CSKT B,Willetta,"Geely ",71
262,metallic,8OC5RO,Ricky,"FIAT ",74
263,black,"720FF ",Ebonee,Gazel,73
264,brown,DV7Y4O,Petronia,KIA,75
265,black,Z92OVV,Linzy,"DODGE ",72
266,red,OHXAEU,Starla,"FIAT ",72
267,purple,11V2LJ,Hermione,"Ferrari ",71
268,blue,Y7OG79,Dorthy,Renault,74
269,grey,Z71XMW,Merrie,KIA,71
270,yellow,DUN6 6,Pierette,Bentley,71
271,red,DU2SEE,Xylina,Renault,73
272,blue," OCOS6",Raf,Audi,74
273,khaki,IDQRUB,Fernande,"FIAT ",71
274,orange,LR8NTK,Selma,"DODGE ",72
275,metallic,2X5JRC,Sam,"Citroen ",70
276,orange,CC 948,Jany,Subaru,72
277,white,WX6UV0,Shauna,"Chevrolet ",73
278,orange,AQ 027,Beverley,"Citroen ",75
279,black,7QJSRR,Iseabal,Subaru,70
280,metallic," V ZOK",Tera,KIA,72
281,orange,J19T9F,Thalia,"Chrysler ",72
282,olive,TU0EPH,Clementine,BMW,71
283,olive,WENION,Chickie,"Ferrari ",73
284,blue,3 Y1PX,Shel,"Aston Martin ",75
285,purple,QQWQDO,Elsie,KIA,74
286,black,2F6HA6,Iseabal,"Chrysler ",75
287,grey," 767J8",Elise,Gas,71
288,olive,S4OQ4O,Ricky,Audi,75
289,orange,SIW547,Pearline,Datsun,72
290,red,X2E8HK,Letizia,"Geely ",70
291,green,HUTP9T,Glenda,Suzuki,72
292,yellow,"1N3JM ",Lilith,Gas,71
293,olive,"ZV6PD ",Fayre,KIA,75
294,white,713XPY,Ardys,UAZ,74
295,brown,R2CT4W,Alameda,"Mazda ",70
296,carbon," M35M0",Stevana,LADA,71
297,pink," 3472A",Silvana,"Aston Martin ",72
298,orange,R3UW1B,Cyb,Opel,72
299,black,VGQYQL,Marylou,"Geely ",70
300,green,SZA5VZ,Minne,"Citroen ",71
301,pink,1GNIVY,Chandra,"Chrysler ",74
302,khaki,0 IACX,Lolita,"Chevrolet ",74
303,olive,PC L3H,Ellette,Gas,75
304,red,J Q5RL,Coral,"Ferrari ",71
305,grey,ES8QCY,Brynna,Ford,75
306,khaki,NNOSP0,Chastity,Opel,72
307,black,KW6HEQ,Christal,"Chrysler ",72
308,brown,BHRXN4,Lilith,KIA,70
309,black,IPZC 2,Leanna,Audi,72
310,olive,HC 4BZ,Dotty,LADA,72
311,carbon,A6MSBP,Jinny,Bentley,72
312,olive,90KOQ3,Ada,Datsun,72
313,orange,YYVGWP,Adele,BMW,75
314,pink,DO 1EJ,Glynnis,Datsun,71
315,yellow,ESXU 2,Edith,Datsun,71
316,pink,FMW5IG,Alexine,Datsun,75
317,carbon,N26PVJ,Ursulina,KIA,72
318,grey,N2FCPF,Maisey,BMW,73
319,grey,9IF3AK,Nessie,"Ferrari ",73
320,grey,T4M89K,Doro,KIA,72
321,metallic,QZNY08,Dale,"FIAT ",75
322,yellow,F17TNQ,Blondelle,Audi,73
323,carbon,"1MDH0 ",Angela,Audi,73
324,yellow,S LQ9Q,Annice,KIA,71
325,purple,9PXJQP,Nyssa,"Daewoo ",70
326,khaki,442J0E,Brynna,LADA,73
327,grey,JZXJ5R,Steffane,"Jaguar ",72
328,purple,1QL1N6,Rebeca,Opel,71
329,metallic,LI3Y2C,Taffy,"Citroen ",75
330,khaki,L HCLH,Feliza,KIA,75
331,olive,256EZP,Reeba,"Chevrolet ",71
332,pink,OOCDSH,Marnia,BMW,72
333,brown,XQPB3E,Louella,Opel,71
334,grey,Y20HXJ,Maridel,"Honda ",72
335,white,DM9QYL,Robinia,Ford,75
336,olive,IGAX9N,Starla,BMW,70
337,orange,4T7BRF,Marita,KIA,70
338,khaki,T6RE13,Starla,Opel,71
339,olive,EB3MUN,Janey,"FIAT ",74
340,black," GYBZ6",Krystle,Opel,75
341,metallic,6XHK0C,Minda,"Chrysler ",70
342,blue,HFE780,Lorne,KIA,71
343,white,GW62UM,Nariko,Ford,75
344,black,4MYTHP,Feliza,"Chevrolet ",73
345,green,WTFCRG,Dania,"Daewoo ",75
346,khaki,"LEDMC ",Dale,"DODGE ",71
347,pink,B847WM,Hollie,"Ferrari ",73
348,carbon,3S9XRY,Sissy,Ford,75
349,blue,SS0 BC,Gusty,UAZ,72
350,khaki,T953 L,Celestyna,Toyota,70
351,brown,3CVNZV,Kerrin,KIA,74
352,grey,"O3TYQ ",Gusella,"Chrysler ",70
353,yellow,9VWLTA,Corene,LADA,71
354,green,9LVQ07,Lucille,BMW,71
355,purple,WE0KMT,Chandra,LADA,75
356,olive,XWCS71,Jessy,BMW,73
357,olive,IPSLMT,Donetta,Ford,72
358,carbon,CU826F,Philis,"Aston Martin ",74
359,blue,MST 2Y,Chickie,"Chevrolet ",70
360,metallic,Q2XCVM,Aurore,Subaru,70
361,yellow,NVT5ZD,Belinda,LADA,72
